image,cls,confidence,clip_score,truncated,y,margin,softmax_scaled
coco500/000000000139.jpg,person,0.85,0.196,0.0,1,0.005560264,0.15109257
coco500/000000000139.jpg,tv,0.8429,0.2056,0.0,1,-0.038374975,0.011530836
coco500/000000000139.jpg,chair,0.7341,0.2231,0.0,1,-0.0012321621,0.204643
coco500/000000000139.jpg,chair,0.7251,0.2644,0.0,1,0.039698973,0.9048698
coco500/000000000139.jpg,clock,0.7011,0.1567,0.0,1,-0.06262714,0.0012768958
coco500/000000000139.jpg,chair,0.5423,0.2231,0.0,1,-0.009044081,0.13323522
coco500/000000000139.jpg,vase,0.5379,0.2201,0.0,1,-0.025063112,0.042914554
coco500/000000000139.jpg,vase,0.4981,0.2368,0.0,1,0.010960907,0.3709338
coco500/000000000139.jpg,refrigerator,0.4916,0.1615,0.0,1,-0.030137494,0.0048763356
coco500/000000000139.jpg,dining table,0.4845,0.2583,0.0,1,0.005307466,0.5770044
coco500/000000000139.jpg,dining table,0.467,0.1689,1.0,1,-0.07461184,0.00032875393
coco500/000000000139.jpg,vase,0.4388,0.1832,0.0,1,-0.034573257,0.011682201
coco500/000000000139.jpg,potted plant,0.4331,0.1918,0.0,1,-0.010021299,0.086832374
coco500/000000000139.jpg,tv,0.426,0.1692,1.0,1,-0.053622782,0.0013405043
coco500/000000000139.jpg,microwave,0.3904,0.2001,0.0,1,-0.009102866,0.10725416
coco500/000000000139.jpg,wine glass,0.364,0.1584,0.0,0,-0.028915316,0.0048799515
coco500/000000000139.jpg,refrigerator,0.3618,0.1879,0.0,1,-0.041320547,0.0032107546
coco500/000000000139.jpg,potted plant,0.3572,0.1855,0.0,1,-0.006613612,0.041649174
coco500/000000000139.jpg,wine glass,0.3537,0.179,0.0,0,-0.03331229,0.007815277
coco500/000000000139.jpg,vase,0.3388,0.2406,0.0,1,0.023882017,0.68913627
coco500/000000000139.jpg,person,0.3364,0.2158,0.0,1,-0.00931567,0.14661089
coco500/000000000139.jpg,wine glass,0.3273,0.1647,0.0,0,-0.029065132,0.0053915367
coco500/000000000632.jpg,potted plant,0.7961,0.2446,0.0,1,0.007706359,0.46499926
coco500/000000000632.jpg,potted plant,0.7876,0.2705,0.0,1,0.036667734,0.96812415
coco500/000000000632.jpg,chair,0.6619,0.2041,0.0,1,-0.024557203,0.058931258
coco500/000000000632.jpg,bed,0.6463,0.2529,1.0,1,0.023493558,0.8407404
coco500/000000000632.jpg,bottle,0.4496,0.1898,0.0,0,0.0031410158,0.2869375
coco500/000000000632.jpg,book,0.328,0.2343,0.0,1,0.048095554,0.9122939
coco500/000000000632.jpg,book,0.313,0.2416,0.0,1,0.03942588,0.76888406
coco500/000000000632.jpg,book,0.3075,0.2522,0.0,1,0.040967703,0.8909657
